Model,TBS2074B
5.952e-01,-8.00001e-05,0.00042,0.36,8e-05
5.984e-01,-0.00016,0.00034,0.52,0.00012
6.016e-01,-0.00024,0.00022,0.68,2.98023e-12
6.048e-01,-8.00001e-05,0.00022,0.92,4e-05
6.080e-01,-0.00024,0.00014,1.08,0.00024
6.112e-01,-0.00016,0.0003,1.32,2.98023e-12
6.144e-01,-8.00001e-05,0.00026,1.4,4e-05
6.176e-01,-9.53674e-11,0.00022,1.24,0.00016
6.208e-01,-0.00024,0.00026,1.08,4e-05
6.240e-01,-0.00016,0.00018,0.84,0.00012
6.272e-01,-8.00001e-05,0.0003,0.68,-0.00012
6.304e-01,-9.53674e-11,0.00038,0.36,2.98023e-12
6.336e-01,-8.00001e-05,0.0003,0.2,2.98023e-12
6.368e-01,-8.00001e-05,0.00026,0.04,8e-05
6.400e-01,-0.00016,0.00026,-0.12,8e-05
6.432e-01,-0.00016,0.00034,-0.28,-0.00012
6.464e-01,-0.00016,0.00038,-0.52,0.00016
6.496e-01,-8.00001e-05,0.0003,-0.76,4e-05
6.528e-01,-0.00016,0.00026,-0.92,2.98023e-12
6.560e-01,-0.00016,0.0003,-1.08,-0.00016
6.592e-01,-9.53674e-11,0.00026,-1.32,8e-05
6.624e-01,-0.00016,0.0003,-1.48,4e-05
6.656e-01,-8.00001e-05,0.0003,-1.48,2.98023e-12
6.688e-01,-8.00001e-05,0.00042,-1.24,0.00012
6.720e-01,-9.53674e-11,0.0003,-1.08,4e-05
6.752e-01,-8.00001e-05,0.00038,-0.92,4e-05
6.784e-01,-8.00001e-05,0.00042,-0.68,4e-05
6.816e-01,-0.00016,0.00034,-0.44,2.98023e-12
6.848e-01,-9.53674e-11,0.00022,-0.28,4e-05
6.880e-01,-0.00016,0.00022,-0.12,4e-05
6.912e-01,-9.53674e-11,0.00018,0.12,8e-05
6.944e-01,-9.53674e-11,0.0003,0.28,0.00012
6.976e-01,-0.00016,0.00026,0.52,2.98023e-12
7.008e-01,-9.53674e-11,0.0001,0.68,-4e-05
7.040e-01,-9.53674e-11,0.0001,0.84,0.00012
7.072e-01,-9.53674e-11,0.00022,1.08,4e-05
7.104e-01,-9.53674e-11,0.00038,1.24,0.00012
7.136e-01,-0.00016,0.00054,1.48,-8e-05
7.168e-01,-8.00001e-05,0.00022,1.32,-0.00012
7.200e-01,-8.00001e-05,0.00034,1.08,0.00012
7.232e-01,-0.00016,0.00014,0.92,4e-05
7.264e-01,-8.00001e-05,0.00034,0.68,2.98023e-12
7.296e-01,-8.00001e-05,0.00038,0.52,4e-05
7.328e-01,-8.00001e-05,0.00026,0.28,0.00012
7.360e-01,-0.00016,0.00022,0.12,-8e-05
7.392e-01,-8.00001e-05,0.00022,-0.04,-4e-05
7.424e-01,-0.00016,0.00018,-0.28,8e-05
7.456e-01,-0.00016,0.00034,-0.44,8e-05
7.488e-01,-8.00001e-05,0.00034,-0.68,8e-05
7.520e-01,-9.53674e-11,0.0003,-0.84,-8e-05
7.552e-01,-8.00001e-05,0.00022,-1.08,0.00012
7.584e-01,-9.53674e-11,0.0003,-1.24,8e-05
7.616e-01,-8.00001e-05,0.00018,-1.48,-4e-05
7.648e-01,-0.00016,0.00026,-1.56,-0.00016
7.680e-01,-0.00016,0.00042,-1.32,4e-05
7.712e-01,-0.00016,2e-05,-1.16,2.98023e-12
7.744e-01,-0.00016,0.00014,-0.92,4e-05
7.776e-01,-0.00024,0.00046,-0.76,-4e-05
7.808e-01,-9.53674e-11,0.0003,-0.52,4e-05
7.840e-01,-0.00016,0.00022,-0.36,-4e-05
7.872e-01,-9.53674e-11,0.00014,-0.12,2.98023e-12
7.904e-01,-8.00001e-05,0.00026,0.04,0.00016
7.936e-01,-8.00001e-05,0.00054,0.2,2.98023e-12
7.968e-01,-8.00001e-05,0.00022,0.44,4e-05
8.000e-01,-8.00001e-05,0.00038,0.6,0.00012
8.032e-01,-9.53674e-11,0.00018,0.84,4e-05
8.064e-01,-8.00001e-05,0.00026,1.08,0.00012
8.096e-01,-9.53674e-11,0.00038,1.24,2.98023e-12
8.128e-01,-0.00016,0.0003,1.4,-4e-05
8.160e-01,-0.00016,0.0003,1.32,0.00012
8.192e-01,-8.00001e-05,0.00038,1.16,2.98023e-12
8.224e-01,-0.00016,0.0003,0.92,4e-05
8.256e-01,-9.53674e-11,0.0003,0.76,8e-05
8.288e-01,-8.00001e-05,0.00046,0.52,4e-05
8.320e-01,-8.00001e-05,0.0003,0.36,-8e-05
8.352e-01,-0.00016,0.00022,0.2,-4e-05
8.384e-01,-9.53674e-11,0.00022,-0.04,-4e-05
8.416e-01,-0.00016,0.00026,-0.2,-0.00016
8.448e-01,-0.00016,0.00026,-0.44,0.00012
8.480e-01,-8.00001e-05,0.00042,-0.6,0.00016
8.512e-01,-9.53674e-11,0.00022,-0.84,-0.00016
8.544e-01,-8.00001e-05,0.00022,-1,-4e-05
8.576e-01,-0.00016,0.00042,-1.24,2.98023e-12
8.608e-01,-0.00016,0.00038,-1.4,-4e-05
8.640e-01,-9.53674e-11,0.00042,-1.56,2.98023e-12
8.672e-01,-8.00001e-05,0.00034,-1.4,0.0002
8.704e-01,-8.00001e-05,0.00014,-1.16,-0.00012
8.736e-01,-8.00001e-05,0.00042,-1,-8e-05
8.768e-01,-8.00001e-05,0.00026,-0.76,0.00016
8.800e-01,-9.53674e-11,0.0005,-0.6,4e-05
8.832e-01,-9.53674e-11,0.00026,-0.36,-4e-05
8.864e-01,-8.00001e-05,0.00034,-0.2,2.98023e-12
8.896e-01,-0.00016,0.00038,0.04,-4e-05
8.928e-01,-0.00024,0.00038,0.2,8e-05
8.960e-01,-0.00016,0.00042,0.36,-4e-05
8.992e-01,-0.00016,0.00022,0.6,2.98023e-12
9.024e-01,-8.00001e-05,0.0003,0.76,0.00012
9.056e-01,-8.00001e-05,0.00014,1,-8e-05
9.088e-01,-9.53674e-11,0.00022,1.16,2.98023e-12
9.120e-01,7.99999e-05,0.00038,1.32,2.98023e-12
9.152e-01,-9.53674e-11,0.00014,1.4,2.98023e-12
9.184e-01,-9.53674e-11,0.00018,1.16,-0.00012
9.216e-01,-8.00001e-05,0.00026,1,-4e-05
9.248e-01,-8.00001e-05,0.00038,0.76,-8e-05
9.280e-01,-0.00016,0.0003,0.6,4e-05
9.312e-01,-8.00001e-05,6e-05,0.36,-8e-05
9.344e-01,-9.53674e-11,0.00038,0.2,-0.00016
9.376e-01,-0.00016,0.00018,0.04,4e-05
9.408e-01,-9.53674e-11,0.0003,-0.2,-4e-05
9.440e-01,-8.00001e-05,0.00026,-0.36,4e-05
9.472e-01,-0.00016,0.00042,-0.6,2.98023e-12
9.504e-01,-0.00024,0.00038,-0.76,-8e-05
9.536e-01,-9.53674e-11,0.00014,-1,8e-05
9.568e-01,-0.00016,0.00026,-1.16,-8e-05
9.600e-01,-8.00001e-05,0.00022,-1.32,-0.00012
9.632e-01,-8.00001e-05,0.0005,-1.56,8e-05
9.664e-01,-0.00016,0.0003,-1.48,0.00012
9.696e-01,-8.00001e-05,0.00022,-1.24,-0.00012
9.728e-01,-8.00001e-05,0.0003,-1.08,4e-05
9.760e-01,-9.53674e-11,0.00026,-0.84,2.98023e-12
9.792e-01,-8.00001e-05,0.00038,-0.6,2.98023e-12
9.824e-01,-8.00001e-05,0.00018,-0.44,0.00016
9.856e-01,-8.00001e-05,0.00038,-0.28,-0.00012
9.888e-01,-8.00001e-05,0.00026,-0.04,0.00016
9.920e-01,-8.00001e-05,0.00042,0.12,8e-05
9.952e-01,-8.00001e-05,0.00018,0.36,-4e-05
9.984e-01,-8.00001e-05,0.0003,0.52,-4e-05
1.002e+00,7.99999e-05,0.00034,0.76,8e-05
1.005e+00,-8.00001e-05,0.00014,0.92,-4e-05
1.008e+00,-0.00032,0.00034,1.08,-0.00012
1.011e+00,-8.00001e-05,0.00034,1.32,2.98023e-12
1.014e+00,-0.00016,0.00034,1.4,4e-05
1.018e+00,-8.00001e-05,0.0003,1.24,4e-05
1.021e+00,-8.00001e-05,0.0003,1.08,4e-05
1.024e+00,-0.00016,0.0003,0.84,-4e-05
1.027e+00,-9.53674e-11,0.00034,0.6,0.0002
1.030e+00,-0.00024,0.00042,0.44,-4e-05
1.034e+00,-9.53674e-11,0.0003,0.28,4e-05
1.037e+00,-8.00001e-05,0.00038,0.04,4e-05
1.040e+00,-0.00016,0.00042,-0.12,2.98023e-12
1.043e+00,-9.53674e-11,0.00046,-0.36,4e-05
1.046e+00,-8.00001e-05,0.0003,-0.52,8e-05
1.050e+00,-0.00016,0.00018,-0.68,2.98023e-12
1.053e+00,-9.53674e-11,0.00026,-0.92,0.00016
1.056e+00,-0.00024,0.00034,-1.08,8e-05
1.059e+00,-0.00024,0.00042,-1.32,4e-05
1.062e+00,-8.00001e-05,0.0005,-1.48,4e-05
1.066e+00,-9.53674e-11,0.00038,-1.48,-8e-05
1.069e+00,-9.53674e-11,0.00046,-1.24,2.98023e-12
1.072e+00,-0.00032,0.00026,-1.08,-8e-05
1.075e+00,-0.00032,0.00042,-0.84,0.00012
1.078e+00,-0.00016,0.00058,-0.68,0.00016
1.082e+00,-9.53674e-11,0.00038,-0.44,-8e-05
1.085e+00,-8.00001e-05,0.00038,-0.28,4e-05
1.088e+00,-0.00016,0.0003,-0.12,-4e-05
1.091e+00,-0.00016,0.00018,0.12,-0.00012
1.094e+00,-8.00001e-05,0.00034,0.28,2.98023e-12
1.098e+00,-8.00001e-05,0.00038,0.44,0.00012
1.101e+00,-0.00016,0.00046,0.68,-4e-05
1.104e+00,-8.00001e-05,0.00026,0.92,-0.00012
1.107e+00,-9.53674e-11,0.00046,1.08,8e-05
1.110e+00,-0.00016,0.00046,1.24,2.98023e-12
1.114e+00,-9.53674e-11,0.00046,1.48,-4e-05
1.117e+00,-9.53674e-11,0.00026,1.32,-4e-05
1.120e+00,-0.00016,0.00042,1.08,-4e-05
1.123e+00,-0.00016,0.00042,0.92,4e-05
1.126e+00,-8.00001e-05,0.00026,0.68,8e-05
1.130e+00,-8.00001e-05,0.00054,0.44,-8e-05
1.133e+00,-0.00016,0.00034,0.28,-8e-05
1.136e+00,-0.00016,0.00042,0.12,4e-05
1.139e+00,-0.00016,0.00042,-0.12,8e-05
1.142e+00,-0.00016,0.00034,-0.28,2.98023e-12
1.146e+00,-0.00016,0.0005,-0.44,-4e-05
1.149e+00,-9.53674e-11,0.00042,-0.68,-0.0002
1.152e+00,-8.00001e-05,0.00026,-0.84,-0.00016
1.155e+00,-9.53674e-11,0.00038,-1.08,4e-05
1.158e+00,-9.53674e-11,0.00042,-1.24,-0.00012
1.162e+00,7.99999e-05,0.0003,-1.48,4e-05
1.165e+00,-9.53674e-11,0.00042,-1.48,0.00016
1.168e+00,7.99999e-05,0.00034,-1.32,-4e-05
1.171e+00,-0.00016,0.00046,-1.08,-4e-05
1.174e+00,-8.00001e-05,0.00034,-0.92,-4e-05
1.178e+00,-9.53674e-11,0.00062,-0.76,-4e-05
1.181e+00,7.99999e-05,0.00042,-0.52,-8e-05
1.184e+00,-0.00016,0.0003,-0.36,8e-05
1.187e+00,-8.00001e-05,0.00038,-0.12,8e-05
1.190e+00,-9.53674e-11,0.00042,0.04,0.00012
1.194e+00,-9.53674e-11,0.0005,0.28,8e-05
1.197e+00,-8.00001e-05,0.00046,0.44,-0.00012
1.200e+00,-8.00001e-05,0.00046,0.6,4e-05
1.203e+00,-8.00001e-05,0.00058,0.84,-8e-05
1.206e+00,-0.00016,0.00038,1.08,4e-05
1.210e+00,-0.00024,0.00038,1.24,2.98023e-12
1.213e+00,-9.53674e-11,0.0005,1.4,8e-05
1.216e+00,-9.53674e-11,0.00046,1.32,-0.00016
1.219e+00,7.99999e-05,0.00038,1.16,-0.00012
1.222e+00,-8.00001e-05,0.00034,0.92,-4e-05
1.226e+00,-8.00001e-05,0.00026,0.76,8e-05
1.229e+00,-8.00001e-05,0.00058,0.52,4e-05
1.232e+00,-9.53674e-11,0.0005,0.36,-0.00012
1.235e+00,-9.53674e-11,0.00042,0.12,8e-05
1.238e+00,-8.00001e-05,0.0003,-0.04,8e-05
1.242e+00,-9.53674e-11,0.0005,-0.2,2.98023e-12
1.245e+00,-8.00001e-05,0.00062,-0.44,2.98023e-12
1.248e+00,-0.00016,0.0005,-0.6,2.98023e-12
1.251e+00,-8.00001e-05,0.00046,-0.84,-4e-05
1.254e+00,7.99999e-05,0.0003,-1,4e-05
1.258e+00,-9.53674e-11,0.00038,-1.24,-0.00016
1.261e+00,-9.53674e-11,0.00042,-1.4,-4e-05
1.264e+00,-9.53674e-11,0.0005,-1.56,0.00012
1.267e+00,-8.00001e-05,0.0005,-1.4,8e-05
1.270e+00,-8.00001e-05,0.00026,-1.16,4e-05
1.274e+00,-9.53674e-11,0.00042,-1,-4e-05
1.277e+00,-9.53674e-11,0.00034,-0.76,4e-05
1.280e+00,-8.00001e-05,0.00038,-0.68,-8e-05
1.283e+00,-0.00016,0.00042,-0.36,2.98023e-12
1.286e+00,-0.00016,0.00038,-0.2,-0.00012
1.290e+00,-9.53674e-11,0.00046,-0.04,4e-05
1.293e+00,-8.00001e-05,0.00054,0.2,4e-05
1.296e+00,-8.00001e-05,0.00046,0.36,0.00012
1.299e+00,-9.53674e-11,0.0005,0.52,2.98023e-12
1.302e+00,-8.00001e-05,0.00042,0.76,0.00016
1.306e+00,-9.53674e-11,0.0003,0.92,0.0002
1.309e+00,-8.00001e-05,0.00042,1.16,8e-05
1.312e+00,-8.00001e-05,0.0003,1.4,8e-05
1.315e+00,-9.53674e-11,0.00046,1.4,-4e-05
1.318e+00,-8.00001e-05,0.0005,1.16,-8e-05
1.322e+00,7.99999e-05,0.00042,1,4e-05
1.325e+00,-8.00001e-05,0.00038,0.76,2.98023e-12
1.328e+00,-9.53674e-11,0.00058,0.6,-4e-05
1.331e+00,-8.00001e-05,0.00066,0.36,-4e-05
1.334e+00,-0.00016,0.00034,0.2,-4e-05
1.338e+00,-9.53674e-11,0.00046,0.04,8e-05
1.341e+00,-9.53674e-11,0.00038,-0.2,0.00016
1.344e+00,-9.53674e-11,0.00042,-0.36,-8e-05
1.347e+00,-0.00016,0.00038,-0.52,4e-05
1.350e+00,-9.53674e-11,0.0003,-0.76,2.98023e-12
1.354e+00,-0.00016,0.0005,-0.92,2.98023e-12
1.357e+00,-8.00001e-05,0.00058,-1.24,-8e-05
1.360e+00,-8.00001e-05,0.0005,-1.4,0.00012
1.363e+00,0.00024,0.00042,-1.56,2.98023e-12
1.366e+00,-0.00016,0.00042,-1.48,2.98023e-12
1.370e+00,-8.00001e-05,0.0003,-1.24,-0.00016
1.373e+00,-9.53674e-11,0.00034,-1.08,0.00012
1.376e+00,-0.00016,0.00054,-0.84,-4e-05
1.379e+00,-9.53674e-11,0.00058,-0.6,-4e-05
1.382e+00,-8.00001e-05,0.00042,-0.44,2.98023e-12
1.386e+00,-0.00024,0.00042,-0.28,2.98023e-12
1.389e+00,-9.53674e-11,0.00046,-0.04,8e-05
1.392e+00,-0.00024,0.0005,0.12,-0.00016
1.395e+00,-8.00001e-05,0.00046,0.36,4e-05
1.398e+00,-8.00001e-05,0.00038,0.52,-0.00012
1.402e+00,-8.00001e-05,0.00042,0.76,0.0002
1.405e+00,-0.00016,0.00046,0.92,2.98023e-12
1.408e+00,-8.00001e-05,0.0003,1.16,0.00012
1.411e+00,-0.00024,0.00054,1.32,4e-05
1.414e+00,-9.53674e-11,0.0005,1.4,-4e-05
1.418e+00,-8.00001e-05,0.00058,1.24,2.98023e-12
1.421e+00,-8.00001e-05,0.00018,1,-4e-05
1.424e+00,-0.00024,0.00038,0.84,-8e-05
1.427e+00,-9.53674e-11,0.00038,0.68,4e-05
1.430e+00,-8.00001e-05,0.00046,0.44,-4e-05
1.434e+00,-0.00016,0.00026,0.28,4e-05
1.437e+00,-9.53674e-11,0.00026,0.04,0.00012
1.440e+00,-0.00016,0.00042,-0.12,0.00012
1.443e+00,-8.00001e-05,0.0005,-0.36,2.98023e-12
1.446e+00,-9.53674e-11,0.00038,-0.52,8e-05
1.450e+00,-8.00001e-05,0.00042,-0.68,0.0002
1.453e+00,-8.00001e-05,0.00034,-0.92,2.98023e-12
1.456e+00,-0.00016,0.00038,-1.16,0.00012
1.459e+00,-9.53674e-11,0.00038,-1.32,8e-05
1.462e+00,7.99999e-05,0.0005,-1.48,2.98023e-12
1.466e+00,-8.00001e-05,0.00034,-1.56,0.00012
1.469e+00,-9.53674e-11,0.0003,-1.24,-4e-05
1.472e+00,-9.53674e-11,0.00046,-1.08,0.0002
1.475e+00,-8.00001e-05,0.00026,-0.92,-8e-05
1.478e+00,-0.00024,0.0005,-0.68,2.98023e-12
1.482e+00,-8.00001e-05,0.00054,-0.44,4e-05
1.485e+00,-9.53674e-11,0.00054,-0.28,4e-05
1.488e+00,-8.00001e-05,0.0005,-0.12,2.98023e-12
1.491e+00,-9.53674e-11,0.00042,0.12,-4e-05
1.494e+00,-0.00024,0.00046,0.28,4e-05
1.498e+00,-8.00001e-05,0.00046,0.52,2.98023e-12
1.501e+00,-8.00001e-05,0.0005,0.68,-0.00012
1.504e+00,-8.00001e-05,0.0003,0.92,0.00012
1.507e+00,-8.00001e-05,0.0005,1.08,4e-05
1.510e+00,-0.00024,0.00046,1.24,4e-05
1.514e+00,-9.53674e-11,0.00046,1.48,2.98023e-12
1.517e+00,-8.00001e-05,0.00038,1.32,2.98023e-12
1.520e+00,-8.00001e-05,0.00038,1.08,-0.00012
1.523e+00,-8.00001e-05,0.00022,0.92,0.00012
1.526e+00,-8.00001e-05,0.00062,0.68,4e-05
1.530e+00,-8.00001e-05,0.00054,0.52,8e-05
1.533e+00,-0.00016,0.00042,0.28,-0.00016
1.536e+00,-8.00001e-05,0.00046,0.12,-4e-05
1.539e+00,-0.00016,0.0005,-0.12,4e-05
1.542e+00,-9.53674e-11,0.0005,-0.28,0.00016
1.546e+00,-9.53674e-11,0.00058,-0.44,-8e-05
1.549e+00,-9.53674e-11,0.0005,-0.68,-8e-05
1.552e+00,-8.00001e-05,0.00034,-0.92,0.00012
1.555e+00,-9.53674e-11,0.00042,-1.08,2.98023e-12
1.558e+00,-9.53674e-11,0.00046,-1.24,-4e-05
1.562e+00,-8.00001e-05,0.00034,-1.48,4e-05
1.565e+00,-9.53674e-11,0.00046,-1.56,8e-05
1.568e+00,-0.00024,0.00042,-1.32,-8e-05
1.571e+00,-0.00016,0.00034,-1.16,0.00012
1.574e+00,-8.00001e-05,0.00038,-1,2.98023e-12
1.578e+00,-8.00001e-05,0.00058,-0.68,4e-05
1.581e+00,-8.00001e-05,0.0005,-0.52,-4e-05
1.584e+00,-9.53674e-11,0.00034,-0.36,2.98023e-12
1.587e+00,-8.00001e-05,0.00026,-0.12,4e-05
1.590e+00,-9.53674e-11,0.00058,0.04,4e-05
1.594e+00,-0.00016,0.00038,0.28,8e-05
1.597e+00,-0.00016,0.00042,0.44,4e-05
1.600e+00,-9.53674e-11,0.00042,0.6,-4e-05
1.603e+00,-0.00016,0.0003,0.84,2.98023e-12
1.606e+00,-0.00016,0.00054,1,0.00012
1.610e+00,-9.53674e-11,0.00054,1.24,-4e-05
1.613e+00,-0.00016,0.00062,1.4,2.98023e-12
1.616e+00,-8.00001e-05,0.00062,1.32,8e-05
1.619e+00,-8.00001e-05,0.00042,1.16,-4e-05
1.622e+00,-0.00024,0.00042,0.92,-8e-05
1.626e+00,-8.00001e-05,0.00054,0.76,2.98023e-12
1.629e+00,-0.00016,0.00034,0.52,4e-05
1.632e+00,-0.00016,0.00038,0.36,8e-05
1.635e+00,-0.00016,0.00034,0.2,4e-05
1.638e+00,-8.00001e-05,0.00034,-0.04,-8e-05
1.642e+00,-9.53674e-11,0.00062,-0.2,-4e-05
1.645e+00,-0.00016,0.00026,-0.44,-0.00016
1.648e+00,7.99999e-05,0.00034,-0.6,4e-05
1.651e+00,-0.00024,0.0003,-0.84,4e-05
1.654e+00,-8.00001e-05,0.00038,-1,0.00016
1.658e+00,-9.53674e-11,0.00034,-1.24,8e-05
1.661e+00,-9.53674e-11,0.00026,-1.4,8e-05
1.664e+00,-0.00016,0.0003,-1.56,8e-05
1.667e+00,-8.00001e-05,0.00038,-1.4,0.00012
1.670e+00,-9.53674e-11,0.00026,-1.16,-4e-05
1.674e+00,-8.00001e-05,0.00058,-1,2.98023e-12
1.677e+00,-8.00001e-05,0.0003,-0.84,-4e-05
1.680e+00,-8.00001e-05,0.00046,-0.6,-8e-05
1.683e+00,-0.00016,0.00038,-0.36,4e-05
1.686e+00,-9.53674e-11,0.00046,-0.2,8e-05
1.690e+00,0.00016,0.00046,-0.04,2.98023e-12
1.693e+00,-0.00016,0.00042,0.2,2.98023e-12
1.696e+00,-8.00001e-05,0.00018,0.36,-8e-05
1.699e+00,-8.00001e-05,0.0005,0.6,-8e-05
1.702e+00,-8.00001e-05,0.00034,0.76,8e-05
1.706e+00,-8.00001e-05,0.00018,1,2.98023e-12
1.709e+00,-0.00016,0.00034,1.16,2.98023e-12
1.712e+00,-8.00001e-05,0.0005,1.32,0.00012
1.715e+00,-8.00001e-05,0.00026,1.4,4e-05
1.718e+00,-9.53674e-11,0.00014,1.16,0.00016
1.722e+00,-8.00001e-05,0.0003,1,8e-05
1.725e+00,-0.00016,0.00022,0.84,8e-05
1.728e+00,-0.00016,0.00034,0.6,2.98023e-12
1.731e+00,-0.00016,0.00026,0.36,4e-05
1.734e+00,-8.00001e-05,0.00034,0.2,0.00012
1.738e+00,-8.00001e-05,0.00034,0.04,-8e-05
1.741e+00,-9.53674e-11,0.00014,-0.2,-4e-05
1.744e+00,-9.53674e-11,0.00038,-0.36,2.98023e-12
1.747e+00,-9.53674e-11,0.00026,-0.6,0.00012
1.750e+00,-8.00001e-05,6e-05,-0.76,-4e-05
1.754e+00,-8.00001e-05,0.0001,-1,2.98023e-12
1.757e+00,-9.53674e-11,0.0001,-1.16,-0.00012
1.760e+00,-8.00001e-05,0.00014,-1.4,-8e-05
1.763e+00,-0.00016,0.0003,-1.56,0.00012
1.766e+00,-8.00001e-05,0.00022,-1.4,-8e-05
1.770e+00,-0.00016,0.00022,-1.24,-8e-05
1.773e+00,-9.53674e-11,0.0001,-1,2.98023e-12
1.776e+00,-0.00016,0.00018,-0.92,0.00012
1.779e+00,-8.00001e-05,0.00014,-0.6,-4e-05
1.782e+00,-8.00001e-05,6e-05,-0.52,4e-05
1.786e+00,-0.00024,0.0001,-0.2,4e-05
1.789e+00,-8.00001e-05,0.0001,-0.04,0.00012
1.792e+00,7.99999e-05,2e-05,0.12,8e-05
1.795e+00,-8.00001e-05,6e-05,0.36,-0.0002
1.798e+00,-9.53674e-11,0.00022,0.52,-4e-05
1.802e+00,-9.53674e-11,0.00014,0.68,0.00012
1.805e+00,-9.53674e-11,2e-05,0.92,4e-05
1.808e+00,-8.00001e-05,0.00018,1.16,2.98023e-12
1.811e+00,-8.00001e-05,2e-05,1.32,-4e-05
1.814e+00,-0.00016,2e-05,1.4,8e-05
1.818e+00,-0.00016,0.00022,1.24,2.98023e-12
1.821e+00,-8.00001e-05,6e-05,1,-8e-05
1.824e+00,-0.00016,0.00022,0.84,0.00012
1.827e+00,-0.00016,0.00018,0.68,8e-05
1.830e+00,-0.00016,6e-05,0.44,2.98023e-12
1.834e+00,-0.00016,0.00014,0.28,-4e-05
1.837e+00,7.99999e-05,0.00018,0.04,4e-05
1.840e+00,-9.53674e-11,0.00018,-0.12,-8e-05
1.843e+00,-8.00001e-05,2e-05,-0.28,-0.00012
1.846e+00,-0.00016,-2e-05,-0.52,-0.00012
1.850e+00,-8.00001e-05,2e-05,-0.68,-8e-05
1.853e+00,-9.53674e-11,2e-05,-0.92,0.00012
1.856e+00,-8.00001e-05,2e-05,-1.16,-4e-05
1.859e+00,-0.00024,-0.0001,-1.32,-8e-05
1.862e+00,-9.53674e-11,0.00014,-1.48,4e-05
1.866e+00,-0.00016,-2e-05,-1.48,-0.00012
1.869e+00,-8.00001e-05,6e-05,-1.24,2.98023e-12
1.872e+00,-8.00001e-05,0.0001,-1.08,2.98023e-12
1.875e+00,-0.00016,0.00018,-0.92,-0.00012
1.878e+00,-8.00001e-05,0.0001,-0.68,-8e-05
1.882e+00,-8.00001e-05,2e-05,-0.52,-4e-05
1.885e+00,-0.00016,0.00014,-0.28,-8e-05
1.888e+00,-0.00024,2e-05,-0.04,0.00012
